ID,Agent,Task,Intention,Action,Label
1,Agent39,Task22,I will complete task22.,I completed task22.,0
2,Agent29,Task43,I will complete task43.,I did not complete task43.,1
3,Agent15,Task15,I will complete task15.,I completed task15.,0
4,Agent43,Task22,I won’t complete task22.,I completed task22.,1
5,Agent8,Task37,I will complete task37.,I did not complete task37.,1
6,Agent21,Task42,I won’t complete task42.,I did not complete task42.,0
7,Agent39,Task12,I won’t complete task12.,I did not complete task12.,0
8,Agent19,Task47,I will complete task47.,I did not complete task47.,1
9,Agent23,Task49,I won’t complete task49.,I completed task49.,1
10,Agent11,Task42,I won’t complete task42.,I completed task42.,1
11,Agent11,Task38,I won’t complete task38.,I did not complete task38.,0
12,Agent24,Task18,I will complete task18.,I completed task18.,0
13,Agent36,Task45,I won’t complete task45.,I did not complete task45.,0
14,Agent40,Task35,I won’t complete task35.,I did not complete task35.,0
15,Agent24,Task30,I won’t complete task30.,I completed task30.,1
16,Agent3,Task24,I will complete task24.,I did not complete task24.,1
17,Agent22,Task42,I won’t complete task42.,I completed task42.,1
18,Agent2,Task30,I will complete task30.,I completed task30.,0
19,Agent24,Task14,I will complete task14.,I completed task14.,0
20,Agent44,Task6,I will complete task6.,I completed task6.,0
21,Agent30,Task3,I will complete task3.,I did not complete task3.,1
22,Agent38,Task16,I will complete task16.,I completed task16.,0
23,Agent2,Task7,I will complete task7.,I did not complete task7.,1
24,Agent21,Task14,I won’t complete task14.,I did not complete task14.,0
25,Agent33,Task9,I will complete task9.,I did not complete task9.,1
26,Agent12,Task15,I won’t complete task15.,I did not complete task15.,0
27,Agent22,Task21,I won’t complete task21.,I completed task21.,1
28,Agent44,Task35,I will complete task35.,I completed task35.,0
29,Agent25,Task2,I won’t complete task2.,I did not complete task2.,0
30,Agent49,Task27,I won’t complete task27.,I did not complete task27.,0
31,Agent27,Task2,I won’t complete task2.,I completed task2.,1
32,Agent42,Task35,I won’t complete task35.,I did not complete task35.,0
33,Agent28,Task18,I will complete task18.,I completed task18.,0
34,Agent16,Task14,I won’t complete task14.,I did not complete task14.,0
35,Agent15,Task20,I will complete task20.,I completed task20.,0
36,Agent47,Task18,I won’t complete task18.,I did not complete task18.,0
37,Agent44,Task10,I won’t complete task10.,I did not complete task10.,0
38,Agent3,Task25,I will complete task25.,I completed task25.,0
39,Agent37,Task2,I won’t complete task2.,I did not complete task2.,0
40,Agent7,Task25,I won’t complete task25.,I did not complete task25.,0
41,Agent21,Task33,I won’t complete task33.,I completed task33.,1
42,Agent9,Task36,I will complete task36.,I did not complete task36.,1
43,Agent39,Task31,I won’t complete task31.,I completed task31.,1
44,Agent18,Task14,I will complete task14.,I completed task14.,0
45,Agent4,Task1,I won’t complete task1.,I did not complete task1.,0
46,Agent25,Task46,I will complete task46.,I did not complete task46.,1
47,Agent14,Task16,I will complete task16.,I did not complete task16.,1
48,Agent50,Task46,I won’t complete task46.,I did not complete task46.,0
49,Agent9,Task3,I won’t complete task3.,I did not complete task3.,0
50,Agent26,Task35,I will complete task35.,I did not complete task35.,1
51,Agent2,Task41,I will complete task41.,I did not complete task41.,1
52,Agent20,Task6,I won’t complete task6.,I completed task6.,1
53,Agent28,Task25,I will complete task25.,I did not complete task25.,1
54,Agent47,Task13,I won’t complete task13.,I completed task13.,1
55,Agent7,Task34,I won’t complete task34.,I did not complete task34.,0
56,Agent44,Task8,I won’t complete task8.,I did not complete task8.,0
57,Agent8,Task21,I won’t complete task21.,I completed task21.,1
58,Agent47,Task34,I will complete task34.,I did not complete task34.,1
59,Agent35,Task4,I won’t complete task4.,I did not complete task4.,0
60,Agent14,Task25,I will complete task25.,I completed task25.,0
61,Agent17,Task15,I won’t complete task15.,I did not complete task15.,0
62,Agent36,Task4,I will complete task4.,I did not complete task4.,1
63,Agent50,Task45,I won’t complete task45.,I did not complete task45.,0
64,Agent40,Task12,I will complete task12.,I completed task12.,0
65,Agent4,Task32,I will complete task32.,I did not complete task32.,1
66,Agent2,Task32,I won’t complete task32.,I did not complete task32.,0
67,Agent6,Task28,I won’t complete task28.,I did not complete task28.,0
68,Agent42,Task13,I won’t complete task13.,I did not complete task13.,0
69,Agent4,Task31,I won’t complete task31.,I completed task31.,1
70,Agent29,Task14,I will complete task14.,I completed task14.,0
71,Agent18,Task20,I won’t complete task20.,I did not complete task20.,0
72,Agent26,Task18,I will complete task18.,I did not complete task18.,1
73,Agent44,Task29,I will complete task29.,I completed task29.,0
74,Agent34,Task6,I won’t complete task6.,I completed task6.,1
75,Agent10,Task32,I will complete task32.,I did not complete task32.,1
76,Agent36,Task29,I will complete task29.,I completed task29.,0
77,Agent14,Task43,I will complete task43.,I did not complete task43.,1
78,Agent31,Task2,I will complete task2.,I completed task2.,0
79,Agent48,Task23,I won’t complete task23.,I completed task23.,1
80,Agent15,Task19,I won’t complete task19.,I completed task19.,1
81,Agent8,Task31,I won’t complete task31.,I completed task31.,1
82,Agent14,Task5,I won’t complete task5.,I did not complete task5.,0
83,Agent23,Task19,I will complete task19.,I completed task19.,0
84,Agent40,Task34,I will complete task34.,I completed task34.,0
85,Agent21,Task10,I won’t complete task10.,I did not complete task10.,0
86,Agent16,Task25,I won’t complete task25.,I completed task25.,1
87,Agent45,Task2,I won’t complete task2.,I completed task2.,1
88,Agent18,Task11,I will complete task11.,I did not complete task11.,1
89,Agent47,Task50,I won’t complete task50.,I completed task50.,1
90,Agent24,Task31,I won’t complete task31.,I did not complete task31.,0
91,Agent26,Task15,I won’t complete task15.,I did not complete task15.,0
92,Agent25,Task9,I will complete task9.,I did not complete task9.,1
93,Agent45,Task23,I will complete task23.,I did not complete task23.,1
94,Agent41,Task19,I will complete task19.,I completed task19.,0
95,Agent29,Task9,I will complete task9.,I did not complete task9.,1
96,Agent15,Task35,I will complete task35.,I completed task35.,0
97,Agent45,Task21,I will complete task21.,I completed task21.,0
98,Agent1,Task9,I will complete task9.,I completed task9.,0
99,Agent25,Task28,I will complete task28.,I completed task28.,0
100,Agent7,Task46,I won’t complete task46.,I completed task46.,1
101,Agent9,Task7,I won’t complete task7.,I completed task7.,1
102,Agent24,Task16,I will complete task16.,I completed task16.,0
103,Agent1,Task16,I will complete task16.,I completed task16.,0
104,Agent44,Task33,I won’t complete task33.,I completed task33.,1
105,Agent8,Task4,I will complete task4.,I completed task4.,0
106,Agent24,Task4,I will complete task4.,I did not complete task4.,1
107,Agent11,Task39,I will complete task39.,I did not complete task39.,1
108,Agent17,Task40,I won’t complete task40.,I did not complete task40.,0
109,Agent8,Task17,I won’t complete task17.,I completed task17.,1
110,Agent35,Task37,I won’t complete task37.,I did not complete task37.,0
111,Agent35,Task39,I won’t complete task39.,I did not complete task39.,0
112,Agent33,Task29,I won’t complete task29.,I did not complete task29.,0
113,Agent5,Task36,I will complete task36.,I completed task36.,0
114,Agent42,Task38,I won’t complete task38.,I completed task38.,1
115,Agent39,Task39,I will complete task39.,I completed task39.,0
116,Agent41,Task50,I will complete task50.,I completed task50.,0
117,Agent28,Task37,I won’t complete task37.,I did not complete task37.,0
118,Agent7,Task35,I won’t complete task35.,I did not complete task35.,0
119,Agent9,Task7,I will complete task7.,I did not complete task7.,1
120,Agent8,Task27,I will complete task27.,I did not complete task27.,1
121,Agent12,Task28,I will complete task28.,I completed task28.,0
122,Agent34,Task22,I won’t complete task22.,I completed task22.,1
123,Agent33,Task14,I won’t complete task14.,I completed task14.,1
124,Agent48,Task7,I won’t complete task7.,I did not complete task7.,0
125,Agent23,Task37,I won’t complete task37.,I completed task37.,1
126,Agent24,Task22,I won’t complete task22.,I completed task22.,1
127,Agent37,Task5,I will complete task5.,I did not complete task5.,1
128,Agent35,Task2,I won’t complete task2.,I did not complete task2.,0
129,Agent44,Task27,I will complete task27.,I completed task27.,0
130,Agent40,Task21,I will complete task21.,I completed task21.,0
131,Agent22,Task38,I will complete task38.,I completed task38.,0
132,Agent27,Task15,I won’t complete task15.,I completed task15.,1
133,Agent35,Task21,I won’t complete task21.,I completed task21.,1
134,Agent1,Task10,I won’t complete task10.,I completed task10.,1
135,Agent35,Task23,I will complete task23.,I did not complete task23.,1
136,Agent37,Task39,I will complete task39.,I did not complete task39.,1
137,Agent47,Task5,I will complete task5.,I did not complete task5.,1
138,Agent14,Task1,I will complete task1.,I completed task1.,0
139,Agent3,Task13,I will complete task13.,I did not complete task13.,1
140,Agent1,Task21,I will complete task21.,I completed task21.,0
141,Agent5,Task26,I won’t complete task26.,I completed task26.,1
142,Agent26,Task50,I won’t complete task50.,I did not complete task50.,0
143,Agent14,Task45,I won’t complete task45.,I completed task45.,1
144,Agent39,Task21,I won’t complete task21.,I completed task21.,1
145,Agent27,Task18,I will complete task18.,I did not complete task18.,1
146,Agent9,Task37,I will complete task37.,I did not complete task37.,1
147,Agent15,Task45,I won’t complete task45.,I did not complete task45.,0
148,Agent15,Task32,I will complete task32.,I completed task32.,0
149,Agent26,Task36,I won’t complete task36.,I did not complete task36.,0
150,Agent42,Task17,I won’t complete task17.,I did not complete task17.,0
151,Agent13,Task35,I won’t complete task35.,I completed task35.,1
152,Agent32,Task49,I will complete task49.,I did not complete task49.,1
153,Agent39,Task11,I won’t complete task11.,I did not complete task11.,0
154,Agent49,Task21,I won’t complete task21.,I did not complete task21.,0
155,Agent32,Task26,I won’t complete task26.,I completed task26.,1
156,Agent4,Task4,I will complete task4.,I completed task4.,0
157,Agent30,Task34,I will complete task34.,I completed task34.,0
158,Agent37,Task48,I won’t complete task48.,I completed task48.,1
159,Agent23,Task18,I will complete task18.,I did not complete task18.,1
160,Agent39,Task40,I will complete task40.,I completed task40.,0
161,Agent45,Task35,I will complete task35.,I completed task35.,0
162,Agent15,Task41,I will complete task41.,I did not complete task41.,1
163,Agent43,Task29,I will complete task29.,I did not complete task29.,1
164,Agent29,Task29,I will complete task29.,I did not complete task29.,1
165,Agent36,Task38,I will complete task38.,I completed task38.,0
166,Agent13,Task42,I will complete task42.,I completed task42.,0
167,Agent32,Task21,I will complete task21.,I completed task21.,0
168,Agent7,Task42,I will complete task42.,I did not complete task42.,1
169,Agent22,Task13,I won’t complete task13.,I did not complete task13.,0
170,Agent28,Task49,I won’t complete task49.,I completed task49.,1
171,Agent2,Task41,I will complete task41.,I did not complete task41.,1
172,Agent42,Task17,I won’t complete task17.,I did not complete task17.,0
173,Agent45,Task9,I won’t complete task9.,I did not complete task9.,0
174,Agent6,Task41,I will complete task41.,I completed task41.,0
175,Agent28,Task1,I will complete task1.,I did not complete task1.,1
176,Agent28,Task2,I will complete task2.,I did not complete task2.,1
177,Agent44,Task48,I won’t complete task48.,I completed task48.,1
178,Agent44,Task29,I won’t complete task29.,I completed task29.,1
179,Agent20,Task33,I will complete task33.,I did not complete task33.,1
180,Agent30,Task10,I will complete task10.,I did not complete task10.,1
181,Agent11,Task50,I will complete task50.,I completed task50.,0
182,Agent28,Task40,I won’t complete task40.,I completed task40.,1
183,Agent25,Task21,I won’t complete task21.,I did not complete task21.,0
184,Agent39,Task28,I won’t complete task28.,I did not complete task28.,0
185,Agent33,Task11,I won’t complete task11.,I did not complete task11.,0
186,Agent1,Task34,I will complete task34.,I did not complete task34.,1
187,Agent27,Task8,I will complete task8.,I completed task8.,0
188,Agent13,Task22,I will complete task22.,I did not complete task22.,1
189,Agent41,Task8,I will complete task8.,I did not complete task8.,1
190,Agent3,Task49,I won’t complete task49.,I completed task49.,1
191,Agent39,Task15,I won’t complete task15.,I did not complete task15.,0
192,Agent6,Task17,I will complete task17.,I completed task17.,0
193,Agent8,Task23,I will complete task23.,I did not complete task23.,1
194,Agent27,Task24,I won’t complete task24.,I did not complete task24.,0
195,Agent9,Task45,I will complete task45.,I completed task45.,0
196,Agent37,Task19,I won’t complete task19.,I completed task19.,1
197,Agent33,Task5,I will complete task5.,I did not complete task5.,1
198,Agent42,Task32,I will complete task32.,I did not complete task32.,1
199,Agent44,Task44,I will complete task44.,I did not complete task44.,1
200,Agent24,Task1,I will complete task1.,I completed task1.,0
201,Agent15,Task23,I will complete task23.,I did not complete task23.,1
202,Agent32,Task37,I will complete task37.,I completed task37.,0
203,Agent32,Task8,I will complete task8.,I completed task8.,0
204,Agent24,Task13,I won’t complete task13.,I did not complete task13.,0
205,Agent41,Task8,I won’t complete task8.,I completed task8.,1
206,Agent49,Task23,I won’t complete task23.,I did not complete task23.,0
207,Agent49,Task43,I won’t complete task43.,I did not complete task43.,0
208,Agent12,Task1,I won’t complete task1.,I did not complete task1.,0
209,Agent39,Task45,I will complete task45.,I did not complete task45.,1
210,Agent2,Task24,I will complete task24.,I did not complete task24.,1
211,Agent3,Task35,I won’t complete task35.,I completed task35.,1
212,Agent49,Task24,I will complete task24.,I completed task24.,0
213,Agent37,Task17,I won’t complete task17.,I did not complete task17.,0
214,Agent49,Task5,I won’t complete task5.,I did not complete task5.,0
215,Agent17,Task20,I will complete task20.,I completed task20.,0
216,Agent49,Task21,I will complete task21.,I completed task21.,0
217,Agent2,Task40,I will complete task40.,I completed task40.,0
218,Agent2,Task31,I won’t complete task31.,I completed task31.,1
219,Agent28,Task46,I will complete task46.,I did not complete task46.,1
220,Agent23,Task36,I won’t complete task36.,I did not complete task36.,0
221,Agent37,Task11,I won’t complete task11.,I completed task11.,1
222,Agent32,Task15,I won’t complete task15.,I did not complete task15.,0
223,Agent33,Task19,I will complete task19.,I completed task19.,0
224,Agent1,Task7,I will complete task7.,I did not complete task7.,1
225,Agent19,Task28,I won’t complete task28.,I completed task28.,1
226,Agent2,Task43,I will complete task43.,I did not complete task43.,1
227,Agent44,Task5,I will complete task5.,I completed task5.,0
228,Agent26,Task5,I will complete task5.,I completed task5.,0
229,Agent32,Task30,I won’t complete task30.,I did not complete task30.,0
230,Agent6,Task32,I won’t complete task32.,I completed task32.,1
231,Agent32,Task8,I will complete task8.,I did not complete task8.,1
232,Agent4,Task10,I won’t complete task10.,I did not complete task10.,0
233,Agent11,Task38,I will complete task38.,I completed task38.,0
234,Agent17,Task47,I will complete task47.,I did not complete task47.,1
235,Agent38,Task32,I will complete task32.,I did not complete task32.,1
236,Agent24,Task48,I will complete task48.,I did not complete task48.,1
237,Agent5,Task28,I won’t complete task28.,I did not complete task28.,0
238,Agent34,Task17,I won’t complete task17.,I did not complete task17.,0
239,Agent6,Task31,I won’t complete task31.,I completed task31.,1
240,Agent22,Task8,I will complete task8.,I did not complete task8.,1
241,Agent11,Task40,I will complete task40.,I did not complete task40.,1
242,Agent48,Task25,I will complete task25.,I did not complete task25.,1
243,Agent16,Task9,I won’t complete task9.,I did not complete task9.,0
244,Agent33,Task2,I will complete task2.,I did not complete task2.,1
245,Agent9,Task15,I won’t complete task15.,I completed task15.,1
246,Agent6,Task50,I won’t complete task50.,I did not complete task50.,0
247,Agent16,Task3,I won’t complete task3.,I completed task3.,1
248,Agent29,Task49,I won’t complete task49.,I completed task49.,1
249,Agent3,Task36,I won’t complete task36.,I completed task36.,1
250,Agent20,Task4,I won’t complete task4.,I completed task4.,1
251,Agent36,Task14,I will complete task14.,I did not complete task14.,1
252,Agent19,Task41,I will complete task41.,I completed task41.,0
253,Agent26,Task41,I won’t complete task41.,I completed task41.,1
254,Agent3,Task25,I won’t complete task25.,I did not complete task25.,0
255,Agent19,Task50,I will complete task50.,I did not complete task50.,1
256,Agent20,Task10,I won’t complete task10.,I did not complete task10.,0
257,Agent32,Task21,I won’t complete task21.,I completed task21.,1
258,Agent7,Task36,I will complete task36.,I did not complete task36.,1
259,Agent41,Task12,I won’t complete task12.,I did not complete task12.,0
260,Agent33,Task27,I won’t complete task27.,I completed task27.,1
261,Agent40,Task40,I won’t complete task40.,I did not complete task40.,0
262,Agent39,Task2,I will complete task2.,I did not complete task2.,1
263,Agent18,Task13,I will complete task13.,I did not complete task13.,1
264,Agent40,Task32,I will complete task32.,I did not complete task32.,1
265,Agent1,Task31,I won’t complete task31.,I completed task31.,1
266,Agent11,Task16,I won’t complete task16.,I did not complete task16.,0
267,Agent28,Task32,I will complete task32.,I did not complete task32.,1
268,Agent25,Task32,I won’t complete task32.,I completed task32.,1
269,Agent50,Task34,I won’t complete task34.,I did not complete task34.,0
270,Agent23,Task11,I won’t complete task11.,I completed task11.,1
271,Agent31,Task10,I won’t complete task10.,I did not complete task10.,0
272,Agent30,Task15,I won’t complete task15.,I completed task15.,1
273,Agent42,Task17,I will complete task17.,I completed task17.,0
274,Agent35,Task40,I won’t complete task40.,I completed task40.,1
275,Agent7,Task18,I will complete task18.,I completed task18.,0
276,Agent16,Task9,I won’t complete task9.,I did not complete task9.,0
277,Agent26,Task25,I will complete task25.,I completed task25.,0
278,Agent48,Task40,I won’t complete task40.,I did not complete task40.,0
279,Agent49,Task14,I will complete task14.,I completed task14.,0
280,Agent2,Task25,I won’t complete task25.,I completed task25.,1
281,Agent1,Task50,I will complete task50.,I completed task50.,0
282,Agent48,Task22,I won’t complete task22.,I did not complete task22.,0
283,Agent12,Task30,I will complete task30.,I completed task30.,0
284,Agent5,Task20,I won’t complete task20.,I did not complete task20.,0
285,Agent37,Task21,I will complete task21.,I did not complete task21.,1
286,Agent32,Task44,I will complete task44.,I did not complete task44.,1
287,Agent9,Task32,I won’t complete task32.,I did not complete task32.,0
288,Agent41,Task46,I won’t complete task46.,I did not complete task46.,0
289,Agent35,Task49,I will complete task49.,I did not complete task49.,1
290,Agent19,Task21,I won’t complete task21.,I did not complete task21.,0
291,Agent48,Task35,I will complete task35.,I did not complete task35.,1
292,Agent16,Task32,I will complete task32.,I did not complete task32.,1
293,Agent3,Task30,I will complete task30.,I completed task30.,0
294,Agent20,Task39,I won’t complete task39.,I completed task39.,1
295,Agent24,Task49,I will complete task49.,I completed task49.,0
296,Agent33,Task12,I will complete task12.,I completed task12.,0
297,Agent24,Task41,I won’t complete task41.,I completed task41.,1
298,Agent11,Task47,I won’t complete task47.,I did not complete task47.,0
299,Agent49,Task18,I won’t complete task18.,I did not complete task18.,0
300,Agent8,Task21,I won’t complete task21.,I did not complete task21.,0
301,Agent36,Task13,I will complete task13.,I did not complete task13.,1
302,Agent38,Task21,I will complete task21.,I did not complete task21.,1
303,Agent40,Task8,I will complete task8.,I did not complete task8.,1
304,Agent20,Task46,I will complete task46.,I did not complete task46.,1
305,Agent35,Task40,I won’t complete task40.,I completed task40.,1
306,Agent48,Task46,I will complete task46.,I completed task46.,0
307,Agent25,Task7,I will complete task7.,I completed task7.,0
308,Agent35,Task23,I won’t complete task23.,I completed task23.,1
309,Agent25,Task44,I will complete task44.,I did not complete task44.,1
310,Agent29,Task32,I will complete task32.,I did not complete task32.,1
311,Agent18,Task11,I will complete task11.,I did not complete task11.,1
312,Agent46,Task22,I will complete task22.,I completed task22.,0
313,Agent18,Task22,I will complete task22.,I did not complete task22.,1
314,Agent2,Task43,I will complete task43.,I did not complete task43.,1
315,Agent35,Task25,I won’t complete task25.,I did not complete task25.,0
316,Agent16,Task22,I won’t complete task22.,I completed task22.,1
317,Agent41,Task28,I will complete task28.,I did not complete task28.,1
318,Agent36,Task29,I will complete task29.,I completed task29.,0
319,Agent33,Task13,I won’t complete task13.,I completed task13.,1
320,Agent4,Task18,I will complete task18.,I completed task18.,0
321,Agent33,Task2,I will complete task2.,I completed task2.,0
322,Agent14,Task29,I will complete task29.,I did not complete task29.,1
323,Agent21,Task21,I won’t complete task21.,I completed task21.,1
324,Agent48,Task15,I will complete task15.,I completed task15.,0
325,Agent20,Task27,I won’t complete task27.,I did not complete task27.,0
326,Agent8,Task50,I will complete task50.,I did not complete task50.,1
327,Agent7,Task31,I won’t complete task31.,I completed task31.,1
328,Agent3,Task15,I won’t complete task15.,I did not complete task15.,0
329,Agent17,Task23,I will complete task23.,I completed task23.,0
330,Agent33,Task24,I won’t complete task24.,I completed task24.,1
331,Agent48,Task44,I will complete task44.,I completed task44.,0
332,Agent12,Task13,I won’t complete task13.,I completed task13.,1
333,Agent22,Task22,I will complete task22.,I did not complete task22.,1
