ID,Agent,Task,Intention,Action,Label
667,Agent22,Task36,I will complete task36.,I did not complete task36.,1
668,Agent17,Task37,I will complete task37.,I did not complete task37.,1
669,Agent7,Task21,I will complete task21.,I did not complete task21.,1
670,Agent25,Task8,I will complete task8.,I did not complete task8.,1
671,Agent45,Task9,I will complete task9.,I completed task9.,0
672,Agent4,Task47,I won’t complete task47.,I completed task47.,1
673,Agent36,Task15,I will complete task15.,I completed task15.,0
674,Agent6,Task48,I will complete task48.,I did not complete task48.,1
675,Agent31,Task46,I will complete task46.,I did not complete task46.,1
676,Agent19,Task40,I will complete task40.,I did not complete task40.,1
677,Agent44,Task18,I won’t complete task18.,I did not complete task18.,0
678,Agent39,Task42,I won’t complete task42.,I did not complete task42.,0
679,Agent27,Task20,I won’t complete task20.,I did not complete task20.,0
680,Agent10,Task6,I won’t complete task6.,I completed task6.,1
681,Agent26,Task12,I will complete task12.,I completed task12.,0
682,Agent19,Task2,I won’t complete task2.,I did not complete task2.,0
683,Agent39,Task7,I will complete task7.,I completed task7.,0
684,Agent3,Task16,I will complete task16.,I did not complete task16.,1
685,Agent45,Task3,I will complete task3.,I completed task3.,0
686,Agent13,Task45,I will complete task45.,I did not complete task45.,1
687,Agent50,Task3,I will complete task3.,I did not complete task3.,1
688,Agent28,Task27,I won’t complete task27.,I completed task27.,1
689,Agent20,Task50,I won’t complete task50.,I completed task50.,1
690,Agent28,Task43,I won’t complete task43.,I did not complete task43.,0
691,Agent8,Task40,I won’t complete task40.,I did not complete task40.,0
692,Agent41,Task38,I will complete task38.,I completed task38.,0
693,Agent39,Task33,I won’t complete task33.,I completed task33.,1
694,Agent1,Task28,I will complete task28.,I did not complete task28.,1
695,Agent3,Task1,I won’t complete task1.,I completed task1.,1
696,Agent13,Task8,I will complete task8.,I did not complete task8.,1
697,Agent28,Task37,I will complete task37.,I did not complete task37.,1
698,Agent49,Task32,I won’t complete task32.,I did not complete task32.,0
699,Agent25,Task48,I will complete task48.,I did not complete task48.,1
700,Agent33,Task43,I will complete task43.,I completed task43.,0
701,Agent38,Task37,I won’t complete task37.,I completed task37.,1
702,Agent6,Task4,I will complete task4.,I completed task4.,0
703,Agent44,Task30,I won’t complete task30.,I completed task30.,1
704,Agent45,Task6,I won’t complete task6.,I completed task6.,1
705,Agent32,Task46,I won’t complete task46.,I completed task46.,1
706,Agent45,Task19,I will complete task19.,I completed task19.,0
707,Agent47,Task32,I will complete task32.,I did not complete task32.,1
708,Agent21,Task9,I will complete task9.,I completed task9.,0
709,Agent16,Task12,I won’t complete task12.,I completed task12.,1
710,Agent21,Task11,I will complete task11.,I did not complete task11.,1
711,Agent11,Task46,I won’t complete task46.,I completed task46.,1
712,Agent37,Task16,I won’t complete task16.,I completed task16.,1
713,Agent36,Task1,I will complete task1.,I did not complete task1.,1
714,Agent35,Task45,I won’t complete task45.,I completed task45.,1
715,Agent19,Task21,I will complete task21.,I completed task21.,0
716,Agent20,Task30,I will complete task30.,I completed task30.,0
717,Agent18,Task13,I will complete task13.,I did not complete task13.,1
718,Agent47,Task34,I will complete task34.,I completed task34.,0
719,Agent41,Task4,I will complete task4.,I completed task4.,0
720,Agent49,Task28,I won’t complete task28.,I did not complete task28.,0
721,Agent14,Task38,I won’t complete task38.,I completed task38.,1
722,Agent15,Task31,I won’t complete task31.,I did not complete task31.,0
723,Agent31,Task27,I will complete task27.,I did not complete task27.,1
724,Agent1,Task5,I will complete task5.,I completed task5.,0
725,Agent3,Task25,I will complete task25.,I did not complete task25.,1
726,Agent16,Task3,I won’t complete task3.,I did not complete task3.,0
727,Agent23,Task33,I will complete task33.,I completed task33.,0
728,Agent11,Task4,I won’t complete task4.,I did not complete task4.,0
729,Agent12,Task25,I won’t complete task25.,I did not complete task25.,0
730,Agent10,Task20,I will complete task20.,I completed task20.,0
731,Agent32,Task34,I will complete task34.,I completed task34.,0
732,Agent16,Task26,I won’t complete task26.,I completed task26.,1
733,Agent8,Task5,I will complete task5.,I did not complete task5.,1
734,Agent38,Task35,I won’t complete task35.,I completed task35.,1
735,Agent12,Task28,I will complete task28.,I did not complete task28.,1
736,Agent24,Task29,I will complete task29.,I did not complete task29.,1
737,Agent28,Task9,I won’t complete task9.,I did not complete task9.,0
738,Agent8,Task38,I will complete task38.,I did not complete task38.,1
739,Agent28,Task50,I won’t complete task50.,I did not complete task50.,0
740,Agent36,Task6,I will complete task6.,I did not complete task6.,1
741,Agent26,Task19,I won’t complete task19.,I did not complete task19.,0
742,Agent8,Task44,I won’t complete task44.,I completed task44.,1
743,Agent50,Task11,I will complete task11.,I completed task11.,0
744,Agent28,Task2,I won’t complete task2.,I did not complete task2.,0
745,Agent28,Task47,I will complete task47.,I did not complete task47.,1
746,Agent37,Task44,I will complete task44.,I completed task44.,0
747,Agent41,Task44,I will complete task44.,I did not complete task44.,1
748,Agent36,Task9,I won’t complete task9.,I completed task9.,1
749,Agent27,Task21,I won’t complete task21.,I completed task21.,1
750,Agent17,Task24,I will complete task24.,I completed task24.,0
751,Agent9,Task34,I will complete task34.,I did not complete task34.,1
752,Agent33,Task22,I won’t complete task22.,I did not complete task22.,0
753,Agent20,Task3,I will complete task3.,I completed task3.,0
754,Agent13,Task12,I will complete task12.,I completed task12.,0
755,Agent28,Task28,I won’t complete task28.,I completed task28.,1
756,Agent48,Task30,I will complete task30.,I completed task30.,0
757,Agent29,Task26,I won’t complete task26.,I completed task26.,1
758,Agent13,Task48,I will complete task48.,I did not complete task48.,1
759,Agent46,Task21,I won’t complete task21.,I completed task21.,1
760,Agent35,Task28,I will complete task28.,I did not complete task28.,1
761,Agent6,Task26,I will complete task26.,I completed task26.,0
762,Agent18,Task33,I won’t complete task33.,I did not complete task33.,0
763,Agent5,Task21,I will complete task21.,I did not complete task21.,1
764,Agent47,Task35,I won’t complete task35.,I did not complete task35.,0
765,Agent25,Task34,I will complete task34.,I did not complete task34.,1
766,Agent2,Task41,I won’t complete task41.,I did not complete task41.,0
767,Agent10,Task47,I won’t complete task47.,I did not complete task47.,0
768,Agent30,Task18,I won’t complete task18.,I completed task18.,1
769,Agent50,Task11,I won’t complete task11.,I did not complete task11.,0
770,Agent45,Task23,I will complete task23.,I completed task23.,0
771,Agent5,Task48,I will complete task48.,I did not complete task48.,1
772,Agent33,Task22,I won’t complete task22.,I did not complete task22.,0
773,Agent1,Task17,I won’t complete task17.,I completed task17.,1
774,Agent18,Task5,I won’t complete task5.,I did not complete task5.,0
775,Agent32,Task44,I will complete task44.,I completed task44.,0
776,Agent47,Task11,I will complete task11.,I completed task11.,0
777,Agent49,Task30,I will complete task30.,I completed task30.,0
778,Agent11,Task15,I will complete task15.,I completed task15.,0
779,Agent21,Task27,I won’t complete task27.,I did not complete task27.,0
780,Agent26,Task35,I won’t complete task35.,I did not complete task35.,0
781,Agent25,Task33,I won’t complete task33.,I completed task33.,1
782,Agent22,Task20,I will complete task20.,I did not complete task20.,1
783,Agent27,Task16,I will complete task16.,I did not complete task16.,1
784,Agent49,Task34,I will complete task34.,I completed task34.,0
785,Agent13,Task2,I won’t complete task2.,I did not complete task2.,0
786,Agent33,Task35,I won’t complete task35.,I completed task35.,1
787,Agent34,Task40,I will complete task40.,I completed task40.,0
788,Agent41,Task28,I won’t complete task28.,I did not complete task28.,0
789,Agent35,Task47,I will complete task47.,I did not complete task47.,1
790,Agent1,Task39,I will complete task39.,I did not complete task39.,1
791,Agent21,Task6,I won’t complete task6.,I completed task6.,1
792,Agent48,Task9,I will complete task9.,I completed task9.,0
793,Agent6,Task20,I won’t complete task20.,I did not complete task20.,0
794,Agent28,Task1,I will complete task1.,I did not complete task1.,1
795,Agent17,Task8,I won’t complete task8.,I did not complete task8.,0
796,Agent5,Task23,I won’t complete task23.,I did not complete task23.,0
797,Agent31,Task3,I won’t complete task3.,I completed task3.,1
798,Agent5,Task4,I will complete task4.,I did not complete task4.,1
799,Agent38,Task25,I will complete task25.,I completed task25.,0
800,Agent3,Task47,I won’t complete task47.,I completed task47.,1
801,Agent23,Task38,I won’t complete task38.,I did not complete task38.,0
802,Agent37,Task15,I will complete task15.,I did not complete task15.,1
803,Agent37,Task21,I will complete task21.,I did not complete task21.,1
804,Agent10,Task35,I will complete task35.,I completed task35.,0
805,Agent10,Task46,I won’t complete task46.,I did not complete task46.,0
806,Agent19,Task14,I will complete task14.,I did not complete task14.,1
807,Agent17,Task36,I will complete task36.,I completed task36.,0
808,Agent21,Task12,I won’t complete task12.,I did not complete task12.,0
809,Agent14,Task17,I will complete task17.,I completed task17.,0
810,Agent9,Task39,I will complete task39.,I did not complete task39.,1
811,Agent46,Task9,I will complete task9.,I completed task9.,0
812,Agent1,Task35,I won’t complete task35.,I did not complete task35.,0
813,Agent45,Task13,I won’t complete task13.,I did not complete task13.,0
814,Agent13,Task15,I won’t complete task15.,I completed task15.,1
815,Agent4,Task18,I won’t complete task18.,I completed task18.,1
816,Agent1,Task33,I won’t complete task33.,I did not complete task33.,0
817,Agent49,Task6,I won’t complete task6.,I completed task6.,1
818,Agent40,Task27,I won’t complete task27.,I completed task27.,1
819,Agent32,Task23,I will complete task23.,I completed task23.,0
820,Agent34,Task27,I will complete task27.,I completed task27.,0
821,Agent28,Task34,I won’t complete task34.,I did not complete task34.,0
822,Agent31,Task46,I will complete task46.,I did not complete task46.,1
823,Agent8,Task38,I will complete task38.,I completed task38.,0
824,Agent39,Task14,I won’t complete task14.,I completed task14.,1
825,Agent26,Task36,I will complete task36.,I completed task36.,0
826,Agent34,Task8,I will complete task8.,I completed task8.,0
827,Agent3,Task35,I will complete task35.,I did not complete task35.,1
828,Agent50,Task19,I will complete task19.,I did not complete task19.,1
829,Agent12,Task30,I will complete task30.,I completed task30.,0
830,Agent1,Task14,I won’t complete task14.,I completed task14.,1
831,Agent44,Task20,I won’t complete task20.,I completed task20.,1
832,Agent5,Task49,I won’t complete task49.,I did not complete task49.,0
833,Agent30,Task25,I will complete task25.,I completed task25.,0
834,Agent30,Task40,I won’t complete task40.,I did not complete task40.,0
835,Agent17,Task24,I will complete task24.,I completed task24.,0
836,Agent48,Task14,I will complete task14.,I did not complete task14.,1
837,Agent47,Task26,I will complete task26.,I completed task26.,0
838,Agent23,Task38,I will complete task38.,I did not complete task38.,1
839,Agent15,Task23,I won’t complete task23.,I completed task23.,1
840,Agent37,Task22,I won’t complete task22.,I completed task22.,1
841,Agent21,Task48,I will complete task48.,I completed task48.,0
842,Agent14,Task19,I won’t complete task19.,I did not complete task19.,0
843,Agent2,Task46,I will complete task46.,I completed task46.,0
844,Agent11,Task3,I won’t complete task3.,I did not complete task3.,0
845,Agent39,Task42,I won’t complete task42.,I did not complete task42.,0
846,Agent38,Task19,I will complete task19.,I completed task19.,0
847,Agent34,Task9,I won’t complete task9.,I completed task9.,1
848,Agent38,Task28,I will complete task28.,I completed task28.,0
849,Agent50,Task20,I won’t complete task20.,I did not complete task20.,0
850,Agent34,Task45,I will complete task45.,I completed task45.,0
851,Agent18,Task7,I will complete task7.,I did not complete task7.,1
852,Agent30,Task14,I won’t complete task14.,I did not complete task14.,0
853,Agent15,Task9,I won’t complete task9.,I completed task9.,1
854,Agent27,Task19,I will complete task19.,I completed task19.,0
855,Agent34,Task47,I won’t complete task47.,I completed task47.,1
856,Agent38,Task14,I won’t complete task14.,I completed task14.,1
857,Agent33,Task38,I will complete task38.,I completed task38.,0
858,Agent24,Task36,I will complete task36.,I completed task36.,0
859,Agent15,Task40,I won’t complete task40.,I did not complete task40.,0
860,Agent30,Task17,I will complete task17.,I did not complete task17.,1
861,Agent42,Task30,I will complete task30.,I did not complete task30.,1
862,Agent17,Task9,I will complete task9.,I completed task9.,0
863,Agent5,Task33,I won’t complete task33.,I did not complete task33.,0
864,Agent29,Task25,I won’t complete task25.,I did not complete task25.,0
865,Agent4,Task14,I will complete task14.,I did not complete task14.,1
866,Agent10,Task11,I won’t complete task11.,I did not complete task11.,0
867,Agent17,Task35,I will complete task35.,I did not complete task35.,1
868,Agent10,Task41,I won’t complete task41.,I completed task41.,1
869,Agent17,Task14,I will complete task14.,I completed task14.,0
870,Agent20,Task30,I will complete task30.,I did not complete task30.,1
871,Agent24,Task41,I won’t complete task41.,I did not complete task41.,0
872,Agent5,Task4,I will complete task4.,I did not complete task4.,1
873,Agent34,Task4,I won’t complete task4.,I completed task4.,1
874,Agent6,Task28,I won’t complete task28.,I completed task28.,1
875,Agent2,Task8,I will complete task8.,I did not complete task8.,1
876,Agent13,Task2,I will complete task2.,I completed task2.,0
877,Agent43,Task41,I won’t complete task41.,I completed task41.,1
878,Agent43,Task46,I will complete task46.,I did not complete task46.,1
879,Agent48,Task22,I will complete task22.,I completed task22.,0
880,Agent11,Task41,I will complete task41.,I completed task41.,0
881,Agent47,Task16,I will complete task16.,I did not complete task16.,1
882,Agent23,Task29,I will complete task29.,I completed task29.,0
883,Agent16,Task49,I won’t complete task49.,I completed task49.,1
884,Agent31,Task48,I won’t complete task48.,I did not complete task48.,0
885,Agent11,Task30,I will complete task30.,I completed task30.,0
886,Agent16,Task12,I will complete task12.,I completed task12.,0
887,Agent8,Task35,I will complete task35.,I did not complete task35.,1
888,Agent4,Task11,I won’t complete task11.,I did not complete task11.,0
889,Agent40,Task46,I will complete task46.,I did not complete task46.,1
890,Agent4,Task50,I won’t complete task50.,I completed task50.,1
891,Agent25,Task21,I won’t complete task21.,I did not complete task21.,0
892,Agent3,Task21,I won’t complete task21.,I completed task21.,1
893,Agent32,Task5,I will complete task5.,I did not complete task5.,1
894,Agent3,Task48,I won’t complete task48.,I completed task48.,1
895,Agent27,Task20,I will complete task20.,I did not complete task20.,1
896,Agent29,Task37,I won’t complete task37.,I did not complete task37.,0
897,Agent32,Task3,I will complete task3.,I did not complete task3.,1
898,Agent50,Task44,I won’t complete task44.,I did not complete task44.,0
899,Agent19,Task33,I will complete task33.,I completed task33.,0
900,Agent21,Task9,I won’t complete task9.,I did not complete task9.,0
901,Agent5,Task9,I will complete task9.,I did not complete task9.,1
902,Agent18,Task4,I will complete task4.,I completed task4.,0
903,Agent28,Task35,I will complete task35.,I did not complete task35.,1
904,Agent42,Task17,I will complete task17.,I completed task17.,0
905,Agent22,Task34,I won’t complete task34.,I did not complete task34.,0
906,Agent21,Task24,I won’t complete task24.,I did not complete task24.,0
907,Agent6,Task32,I will complete task32.,I did not complete task32.,1
908,Agent1,Task1,I won’t complete task1.,I completed task1.,1
909,Agent5,Task8,I will complete task8.,I did not complete task8.,1
910,Agent41,Task45,I will complete task45.,I did not complete task45.,1
911,Agent12,Task23,I won’t complete task23.,I did not complete task23.,0
912,Agent26,Task47,I will complete task47.,I completed task47.,0
913,Agent46,Task40,I will complete task40.,I completed task40.,0
914,Agent34,Task12,I won’t complete task12.,I did not complete task12.,0
915,Agent49,Task12,I will complete task12.,I completed task12.,0
916,Agent14,Task46,I will complete task46.,I did not complete task46.,1
917,Agent26,Task47,I will complete task47.,I did not complete task47.,1
918,Agent45,Task15,I will complete task15.,I did not complete task15.,1
919,Agent27,Task41,I won’t complete task41.,I did not complete task41.,0
920,Agent9,Task19,I won’t complete task19.,I did not complete task19.,0
921,Agent26,Task26,I won’t complete task26.,I did not complete task26.,0
922,Agent47,Task29,I will complete task29.,I did not complete task29.,1
923,Agent22,Task22,I will complete task22.,I completed task22.,0
924,Agent47,Task40,I won’t complete task40.,I completed task40.,1
925,Agent30,Task21,I will complete task21.,I completed task21.,0
926,Agent43,Task38,I will complete task38.,I completed task38.,0
927,Agent48,Task20,I will complete task20.,I completed task20.,0
928,Agent17,Task29,I will complete task29.,I completed task29.,0
929,Agent26,Task4,I won’t complete task4.,I completed task4.,1
930,Agent36,Task7,I won’t complete task7.,I did not complete task7.,0
931,Agent1,Task28,I won’t complete task28.,I did not complete task28.,0
932,Agent8,Task28,I will complete task28.,I did not complete task28.,1
933,Agent49,Task4,I won’t complete task4.,I did not complete task4.,0
934,Agent35,Task22,I won’t complete task22.,I completed task22.,1
935,Agent15,Task12,I will complete task12.,I completed task12.,0
936,Agent47,Task45,I will complete task45.,I did not complete task45.,1
937,Agent22,Task3,I won’t complete task3.,I did not complete task3.,0
938,Agent14,Task22,I won’t complete task22.,I completed task22.,1
939,Agent26,Task44,I won’t complete task44.,I did not complete task44.,0
940,Agent28,Task2,I won’t complete task2.,I did not complete task2.,0
941,Agent23,Task24,I will complete task24.,I did not complete task24.,1
942,Agent14,Task34,I won’t complete task34.,I did not complete task34.,0
943,Agent24,Task27,I won’t complete task27.,I completed task27.,1
944,Agent2,Task41,I will complete task41.,I did not complete task41.,1
945,Agent45,Task1,I won’t complete task1.,I did not complete task1.,0
946,Agent26,Task8,I will complete task8.,I completed task8.,0
947,Agent14,Task23,I will complete task23.,I completed task23.,0
948,Agent7,Task38,I will complete task38.,I did not complete task38.,1
949,Agent3,Task6,I won’t complete task6.,I completed task6.,1
950,Agent47,Task22,I won’t complete task22.,I did not complete task22.,0
951,Agent23,Task25,I will complete task25.,I did not complete task25.,1
952,Agent46,Task18,I won’t complete task18.,I completed task18.,1
953,Agent43,Task17,I won’t complete task17.,I did not complete task17.,0
954,Agent47,Task12,I will complete task12.,I did not complete task12.,1
955,Agent45,Task6,I will complete task6.,I did not complete task6.,1
956,Agent18,Task26,I won’t complete task26.,I did not complete task26.,0
957,Agent38,Task27,I will complete task27.,I completed task27.,0
958,Agent35,Task8,I won’t complete task8.,I completed task8.,1
959,Agent15,Task19,I won’t complete task19.,I did not complete task19.,0
960,Agent25,Task42,I won’t complete task42.,I completed task42.,1
961,Agent37,Task1,I won’t complete task1.,I did not complete task1.,0
962,Agent28,Task29,I will complete task29.,I did not complete task29.,1
963,Agent10,Task45,I will complete task45.,I did not complete task45.,1
964,Agent39,Task49,I will complete task49.,I did not complete task49.,1
965,Agent17,Task35,I will complete task35.,I did not complete task35.,1
966,Agent39,Task40,I won’t complete task40.,I completed task40.,1
967,Agent22,Task14,I won’t complete task14.,I did not complete task14.,0
968,Agent26,Task35,I will complete task35.,I completed task35.,0
969,Agent44,Task48,I won’t complete task48.,I completed task48.,1
970,Agent25,Task45,I won’t complete task45.,I did not complete task45.,0
971,Agent17,Task20,I won’t complete task20.,I did not complete task20.,0
972,Agent13,Task49,I will complete task49.,I did not complete task49.,1
973,Agent20,Task13,I will complete task13.,I did not complete task13.,1
974,Agent25,Task38,I will complete task38.,I did not complete task38.,1
975,Agent4,Task49,I won’t complete task49.,I completed task49.,1
976,Agent10,Task46,I will complete task46.,I did not complete task46.,1
977,Agent3,Task49,I will complete task49.,I did not complete task49.,1
978,Agent41,Task8,I will complete task8.,I completed task8.,0
979,Agent45,Task43,I will complete task43.,I completed task43.,0
980,Agent18,Task20,I will complete task20.,I did not complete task20.,1
981,Agent47,Task33,I will complete task33.,I completed task33.,0
982,Agent36,Task26,I won’t complete task26.,I did not complete task26.,0
983,Agent47,Task39,I won’t complete task39.,I completed task39.,1
984,Agent22,Task21,I will complete task21.,I completed task21.,0
985,Agent34,Task49,I will complete task49.,I did not complete task49.,1
986,Agent47,Task42,I won’t complete task42.,I completed task42.,1
987,Agent8,Task43,I won’t complete task43.,I completed task43.,1
988,Agent40,Task41,I will complete task41.,I completed task41.,0
989,Agent49,Task9,I will complete task9.,I completed task9.,0
990,Agent44,Task24,I will complete task24.,I completed task24.,0
991,Agent19,Task37,I will complete task37.,I completed task37.,0
992,Agent42,Task49,I won’t complete task49.,I did not complete task49.,0
993,Agent41,Task41,I will complete task41.,I did not complete task41.,1
994,Agent37,Task17,I will complete task17.,I completed task17.,0
995,Agent6,Task24,I will complete task24.,I did not complete task24.,1
996,Agent26,Task21,I will complete task21.,I did not complete task21.,1
997,Agent34,Task39,I won’t complete task39.,I did not complete task39.,0
998,Agent45,Task41,I won’t complete task41.,I completed task41.,1
999,Agent6,Task39,I won’t complete task39.,I did not complete task39.,0
1000,Agent37,Task13,I will complete task13.,I completed task13.,0
